generator,prompt_regime,category,class_name,band,real_test_images,ap_mean,ap_std
gpt-image-2-low,compressed,api_compressed,water deer,A,151,0.010618600528687239,0.009884532277661283
gemini-3.1-flash-lite-image,compressed,api_compressed,american black bear,D,2097,0.1646239012479782,0.01191641001272679
gemini-3.1-flash-lite-image,compressed,api_compressed,aye-aye,A,29,0.015155592778076729,0.01742605483887726
gemini-3.1-flash-lite-image,compressed,api_compressed,grevy's zebra,B,224,0.07066335529088974,0.013104720285104975
gemini-3.1-flash-lite-image,compressed,api_compressed,kinkajou,A,160,0.012316777681310972,0.0034349966863046967
gemini-3.1-flash-lite-image,compressed,api_compressed,lion,D,2097,0.036032211035490036,0.0018541538393856845
gemini-3.1-flash-lite-image,compressed,api_compressed,mountain zebra,D,467,0.04607838640610377,0.013136820044879673
gemini-3.1-flash-lite-image,compressed,api_compressed,pangolin family,A,52,0.000343361859753107,7.739055375904059e-05
gemini-3.1-flash-lite-image,compressed,api_compressed,plains zebra,D,2079,0.16776435573895773,0.02278315672819217
gemini-3.1-flash-lite-image,compressed,api_compressed,red fox,D,2150,0.069816288848718,0.0062475829065743275
gemini-3.1-flash-lite-image,compressed,api_compressed,ringtail,A,186,0.0009538587376785775,0.0006053691003826559
gemini-3.1-flash-lite-image,compressed,api_compressed,saiga,A,50,0.002291650065065672,0.0020368815242559728
gemini-3.1-flash-lite-image,compressed,api_compressed,water deer,A,151,0.0049631935544312,0.0034470912642539575
