common_name,scientific_name,level,gbif_pass,inaturalist_pass,wikimedia_pass,openimages_pass,total_pass,total_imgs,after_buffer,status,gap,top_failure_reasons
nilgai,boselaphus tragocamelus,species,34,346,0,0,380,857,304,low,1196,prediction_source 'detector' (need 'classifier')(98); prediction_source 'classifier+rollup_to_family' (need 'classifier')(68); no animal detected (conf ≥ 0.6)(60)
giant anteater,myrmecophaga tridactyla,species,154,228,0,0,382,679,306,low,1194,quality_grade 'casual' ∉ {'research'}(79); no animal detected (conf ≥ 0.6)(60); too small: 500×281 (min 320px on short side)(30)
leopardus species,leopardus,genus,149,245,5,0,399,875,319,low,1181,quality_grade 'needs_id' ∉ {'research'}(101); too small: 500×281 (min 320px on short side)(62); prediction_source 'classifier+rollup_to_family' (need 'classifier')(51)
sloth bear,melursus ursinus,species,21,75,0,306,402,633,322,low,1178,quality_grade 'needs_id' ∉ {'research'}(51); quality_grade 'casual' ∉ {'research'}(46); no animal detected (conf ≥ 0.6)(28)
spectacled bear,tremarctos ornatus,species,45,59,0,306,410,709,328,low,1172,quality_grade 'casual' ∉ {'research'}(139); no animal detected (conf ≥ 0.6)(28); quality_grade 'needs_id' ∉ {'research'}(24)
leaf monkeys genus,presbytis,genus,64,362,2,0,428,783,342,low,1158,no animal detected (conf ≥ 0.6)(78); prediction_source 'detector' (need 'classifier')(73); prediction_source 'classifier+rollup_to_family' (need 'classifier')(59)
thomson's gazelle,eudorcas thomsonii,species,226,214,0,0,440,587,352,low,1148,prediction_source 'classifier+rollup_to_family' (need 'classifier')(15); too small: 500×281 (min 320px on short side)(14); prediction_source 'detector' (need 'classifier')(12)
nine-banded armadillo,dasypus novemcinctus,species,193,249,0,0,442,729,354,low,1146,no animal detected (conf ≥ 0.6)(65); quality_grade 'needs_id' ∉ {'research'}(39); too small: 500×281 (min 320px on short side)(20)
domestic pig,sus scrofa scrofa,species,0,0,0,460,460,500,368,low,1132,effectively grayscale (mean HSV saturation=0.0 < 15.0)(11); blurry (Laplacian var=38.4 < 100.0)(1); blurry (Laplacian var=50.4 < 100.0)(1)
domestic goat,capra aegagrus hircus,species,0,0,4,474,478,504,382,low,1118,effectively grayscale (mean HSV saturation=0.0 < 15.0)(9); blurry (Laplacian var=64.0 < 100.0)(1); blurry (Laplacian var=41.1 < 100.0)(1)
domestic water buffalo,bubalus bubalis,species,193,288,0,0,481,1355,385,low,1115,quality_grade 'casual' ∉ {'research'}(630); prediction_source 'classifier+rollup_to_family' (need 'classifier')(32); no animal detected (conf ≥ 0.6)(21)
grant's gazelle,nanger granti,species,201,291,0,0,492,677,394,low,1106,prediction_source 'classifier+rollup_to_family' (need 'classifier')(51); no animal detected (conf ≥ 0.6)(12); prediction_source 'detector' (need 'classifier')(11)
american badger,taxidea taxus,species,97,395,1,0,493,1260,394,low,1106,no animal detected (conf ≥ 0.6)(265); quality_grade 'needs_id' ∉ {'research'}(156); prediction_source 'detector' (need 'classifier')(42)
